BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	       989 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 1000000	      1020 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	       982 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	      1002 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	      1013 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	       988 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 2000000	       998 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 1000000	      1015 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 1000000	      1006 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/All-4         	 1000000	      1040 ns/op	     624 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       268 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       269 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       262 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       263 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       272 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       267 ns/op	      96 B/op	       2 allocs/op
BenchmarkResourceArgs_PrepareForwardHeaders/Two-4         	 5000000	       264 ns/op	      96 B/op	       2 allocs/op
