BenchmarkPageID-4              	10000000	       216 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       219 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       222 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       212 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       218 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID-4              	10000000	       219 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       810 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       814 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       813 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       814 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       815 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       811 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       814 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       813 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       811 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_FullURL-4      	 2000000	       814 ns/op	     496 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       510 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       504 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       506 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       505 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       510 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       506 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       512 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       510 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       505 ns/op	     184 B/op	       3 allocs/op
BenchmarkPageID_Cookie-4       	 3000000	       506 ns/op	     184 B/op	       3 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       466 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       473 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       476 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       472 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       471 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       469 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       469 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       473 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       472 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_binary-4         	 3000000	       468 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        39.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        38.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        39.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        38.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	30000000	        38.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	30000000	        39.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        38.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        38.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	30000000	        39.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsResponseAllowed/Detect_html-4           	50000000	        37.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     76164 ns/op	   46060 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     75819 ns/op	   46063 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     75427 ns/op	   46063 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     73455 ns/op	   46065 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     73364 ns/op	   46060 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     73699 ns/op	   46063 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     74212 ns/op	   46039 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     73842 ns/op	   46062 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     73612 ns/op	   46062 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Serial-4             	   20000	     74134 ns/op	   46066 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Parallel-4           	   50000	     37450 ns/op	   46013 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Parallel-4           	   30000	     39139 ns/op	   46029 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Parallel-4           	   30000	     40572 ns/op	   46017 B/op	      66 allocs/op
BenchmarkMiddleware/ServeHTTP_Parallel-4           	   50000	     37170 ns/op	   46021 B/op	      66 allocs/op
