BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     26943 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     28446 ns/op	    1026 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     26928 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     28336 ns/op	    1026 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     27393 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     29251 ns/op	    1026 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     30819 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     28231 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     28281 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Cancellable-4         	   50000	     26971 ns/op	    1025 B/op	      33 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25106 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25133 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25077 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25078 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25144 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25006 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25113 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     24993 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25073 ns/op	     529 B/op	      25 allocs/op
BenchmarkNewRedis_Parallel/Non__Cancel-4         	   50000	     25069 ns/op	     529 B/op	      25 allocs/op
PASS
ok  	github.com/SchumacherFM/caddyesi/esikv	32.045s
